,seed,WRW
0,0,2273722.797779039
1,1,2279897.6426544767
2,2,2618196.97916196
3,3,2273722.797779039
4,4,2375752.923840648
5,5,2147475.1385962036
6,6,2539087.413771544
7,7,2539087.413771544
8,8,2218832.694274478
9,9,2439727.0960855195
10,10,2407743.7795969304
11,11,2279897.6426544767
12,12,2147475.1385962036
13,13,2376442.273442944
14,14,2406042.176534756
15,15,2375752.923840648
16,16,2233969.605759525
17,17,2539087.413771544
18,18,2470685.177223929
19,19,2218832.694274478
20,20,2273722.797779039
21,21,2406042.176534756
22,22,2470685.177223929
23,23,2539087.413771544
24,24,2406042.176534756
25,25,2375752.923840648
26,26,2375752.923840648
27,27,2147475.1385962036
28,28,3308503.9895971855
29,29,2147475.1385962036
