seed,S10,S100
0,0.6634027256308452,0.619685502372894
1,1.0,0.6260389247575482
2,0.6058226588078752,0.0
3,0.19037345202358447,1.0
4,0.3049681752935789,0.9270180128467125
5,0.2512007537719998,0.24363956651720287
6,0.1628144255125421,0.8865317755904911
7,0.12763714674473192,0.6009370003237482
8,0.6895236264251383,0.8303810993597303
9,0.6858836574710234,0.6159446098038401
10,0.5383575280409123,0.5189878658017317
11,0.8114633777618279,0.6772555127948738
12,0.5517606993710356,0.48923990624167146
13,0.3491560117104848,0.11005509328121299
14,0.31009992011422005,0.6025875938837846
15,0.6345675626387468,0.5433522740698216
16,0.5261343376588101,0.6382589638478713
17,0.49987977401514616,0.4396692218648486
18,0.8854306794288105,0.8570029059205346
19,0.6861914087423981,0.5951818989553885
20,0.6476601281952457,0.6267669584924391
21,0.46460644510528715,0.5877857530264627
22,0.6020641693353439,0.3925375657411383
23,0.4830814934609502,0.6688552573647701
24,0.12740478078237283,0.48250359515757424
25,0.0,0.6436665219147581
26,0.325128414652176,0.6950822005081605
27,0.23240765074575043,0.13049022366787177
28,0.32717089494038154,0.5777530150063814
29,0.3459774684914616,0.6403748620217389
